h_1171,theta_1171,h_1170,theta_1170,h_1168,theta_1168,h_1133,theta_1133
44.75,0.38993651,44.5,0.485416947,45.15,0.35118579,39.95,0.459381511
44.8,0.389394393,44.55,0.485033797,45.15,0.350695422,39.95,0.459150259
44.9,0.388891,44.6,0.484580982,45.2,0.350205053,40,0.458803382
44.9,0.388465051,44.6,0.484128168,45.2,0.349755548,40,0.458533588
44.95,0.388077825,44.6,0.483745018,45.25,0.349224315,40,0.458225252
45.05,0.387574431,44.65,0.483257371,45.35,0.348733946,40.05,0.457878375
45.1,0.387148483,44.7,0.482839389,45.4,0.348284442,40.05,0.457608581
45.1,0.386683812,44.75,0.482386575,45.4,0.347834937,40.05,0.457300245
45.2,0.386219141,44.75,0.481968592,45.45,0.347344568,40.15,0.457068994
45.2,0.38575447,44.8,0.48155061,45.55,0.346854199,40.25,0.456760658
45.3,0.385328521,44.9,0.481132627,45.6,0.346404695,40.25,0.456452323
45.35,0.384902572,44.9,0.480749477,45.6,0.345996054,40.25,0.456105445
45.4,0.384399179,44.95,0.480296662,45.6,0.345423957,40.25,0.455835651
45.45,0.38397323,45.05,0.479843848,45.65,0.345015316,40.25,0.455527316
45.5,0.383586004,45.05,0.479460697,45.75,0.344565812,40.05,0.455257522
45.55,0.383160056,45.05,0.479007883,45.75,0.344075443,40.3,0.454949186
45.55,0.38277283,45.15,0.478589901,45.8,0.343666802,40.3,0.454679393
45.55,0.382385604,45.15,0.478171918,45.9,0.343135569,40.35,0.454371057
45.55,0.381959655,45.2,0.477788768,45.95,0.342726929,40.45,0.454101264
45.65,0.38157243,45.2,0.477370785,46,0.34223656,40.45,0.45383147
45.75,0.381185204,45.25,0.476952803,46,0.341787055,40.4,0.453600218
45.75,0.380797978,45.3,0.476569652,46.1,0.341378414,40.5,0.453253341
45.75,0.380372029,45.35,0.47615167,46,0.340969774,40.5,0.452983547
45.85,0.379984803,45.35,0.475803351,46.1,0.340520269,40.5,0.452829379
45.85,0.379558855,45.4,0.475420201,46.1,0.340111628,40.55,0.452482502
45.9,0.379171629,45.45,0.47503705,46.15,0.339702988,40.55,0.45225125
45.95,0.378823125,45.45,0.474688731,46.15,0.339294347,40.6,0.451904372
46,0.378397177,45.45,0.474305581,46.15,0.338844842,40.65,0.451673121
46.05,0.378009951,45.5,0.47392243,46.25,0.338477066,40.7,0.451364785
46.1,0.377584002,45.55,0.473574111,46.25,0.338027561,40.65,0.451133533
46.15,0.377235499,45.55,0.473156129,46.35,0.337659784,40.6,0.450940824
46.2,0.376770828,45.55,0.472842642,46.35,0.337251144,40.75,0.450593946
46.3,0.376383602,45.65,0.47242466,46.35,0.336842503,40.75,0.450362694
46.3,0.375996376,45.65,0.472041509,46.4,0.336433862,40.75,0.450054359
46.3,0.375531705,45.7,0.47169319,46.4,0.336025222,40.85,0.449823107
46.4,0.375144479,45.65,0.471344872,46.5,0.335575717,40.9,0.449553313
46.45,0.374718531,45.75,0.470926889,46.55,0.335167076,40.95,0.44928352
46.5,0.374331305,45.75,0.470543739,46.55,0.334717571,40.95,0.449013726
46.55,0.373905356,45.8,0.47019542,46.55,0.334308931,40.95,0.448821016
46.6,0.373440685,45.85,0.469812269,46.6,0.33390029,41,0.448551223
46.65,0.373053459,45.95,0.469429119,46.6,0.333450785,41.05,0.448242887
46.7,0.372588788,45.95,0.4690808,46.7,0.333042145,41.05,0.447973093
46.75,0.372162839,45.95,0.468662818,46.65,0.332674368,41.1,0.447741842
46.8,0.371736891,45.95,0.468314499,46.7,0.332224863,41.05,0.44751059
46.85,0.371233497,45.95,0.467931348,46.75,0.331816223,41.15,0.447240796
46.9,0.370846271,46,0.467513366,46.8,0.331325854,41.25,0.446971003
