h_1277,theta_1277,h_1278,theta_1278,h_1279,theta_1279,h_1280,theta_1280,h_1281,theta_1281,h_1282,theta_1282,h_1283,theta_1283,h_1284,theta_1284
21.285,0.489593479,29.405,0.467867605,34.555,0.437661656,23.59,0.449734789,19.755,0.465202072,20.085,0.448107998,25.435,0.44643089,23.15,0.435590084
21.33,0.489288484,29.335,0.46764129,34.82,0.437060575,23.665,0.449579172,19.915,0.464889673,20.19,0.447637256,25.345,0.446082902,23.355,0.43535642
21.33,0.488945364,29.78,0.467452695,35.085,0.436797602,23.805,0.449190128,19.995,0.464460123,20.37,0.447284198,25.555,0.445812244,23.55,0.435122755
21.48,0.488640369,30.11,0.467150942,35.275,0.436196522,23.985,0.448878893,20.005,0.464147724,20.485,0.44697037,25.815,0.445541586,23.765,0.434850146
21.425,0.488182876,29.805,0.467037785,35.735,0.435670577,24.11,0.448645466,20.065,0.463874374,20.67,0.44669577,26.005,0.445154932,23.995,0.434655425
21.23,0.488106627,30.175,0.466660594,35.925,0.435595442,24.295,0.448295327,20.265,0.463483875,20.805,0.446303484,26.245,0.444884274,24.22,0.434421761
21.28,0.487534762,30.525,0.466509717,36.165,0.435219766,24.405,0.447906283,20.465,0.463171475,20.935,0.445989655,26.47,0.444613616,24.43,0.434188096
21.295,0.487306015,30.84,0.466207965,36.575,0.434355713,24.53,0.447556143,20.66,0.462820025,21.085,0.445636598,26.705,0.444381623,24.61,0.433915487
21.32,0.486962896,30.72,0.466094807,37.435,0.433754633,24.605,0.447283813,20.56,0.462663826,20.76,0.445715055,26.975,0.444033635,24.84,0.433642878
21.42,0.4866579,31.14,0.465868493,37.65,0.432928148,24.75,0.447011482,20.82,0.462351426,21.215,0.44532277,27.18,0.443724311,25.055,0.433448157
21.535,0.486276657,30.885,0.46556674,37.87,0.433078418,24.86,0.446739151,21.08,0.462039026,21.555,0.444969713,27.375,0.443414988,25.31,0.433136604
21.68,0.486124159,31.145,0.465529021,38.15,0.432853012,25.025,0.446350107,21.11,0.461882827,21.42,0.444812798,27.185,0.443337657,25.495,0.432980828
21.87,0.485781039,31.445,0.46515183,38.26,0.432364635,25.15,0.445999968,21.28,0.461687577,21.735,0.444538198,27.625,0.443066999,25.65,0.432825051
22.245,0.485666666,31.385,0.464963235,38.745,0.431688419,25.3,0.445688733,21.445,0.461336127,21.81,0.444342055,27.98,0.442873672,25.915,0.432630331
22.255,0.485285422,31.64,0.464699201,39.005,0.431725987,25.415,0.445338593,21.645,0.461179927,22.165,0.444106684,27.835,0.442680345,26.175,0.43243561
22.24,0.484942303,32.02,0.464548325,39.355,0.431012204,25.6,0.445066262,21.795,0.460906578,22.245,0.443832084,28.275,0.442371022,26.345,0.432279833
22.375,0.484904178,31.855,0.464246572,39.58,0.431012204,25.7,0.444677218,21.925,0.460672278,22.48,0.44367517,28.315,0.442139029,26.585,0.432046169
22.7,0.484522934,32.2,0.464057976,39.73,0.430598961,25.89,0.444365983,22.16,0.460398928,22.645,0.443361341,28.605,0.442061698,26.78,0.431851448
22.95,0.484370437,32.185,0.463793943,39.86,0.430148151,26.08,0.444210366,22.26,0.460203679,22.81,0.44312597,28.765,0.441829706,27.03,0.431656727
22.955,0.484065442,32.56,0.463643066,40.005,0.430260853,26.14,0.443976939,22.515,0.459969379,23.04,0.442890598,29.145,0.441636379,27.2,0.431500951
23.19,0.483951068,32.29,0.463379033,40.325,0.429584638,26.315,0.443665704,22.49,0.459774129,23.035,0.442772912,29.29,0.441404386,27.46,0.43130623
23.3,0.483607949,32.665,0.463114999,41.08,0.428420045,26.515,0.443471182,22.87,0.45938363,23.51,0.442380627,29.565,0.441211059,27.625,0.431150454
23.34,0.483417327,32.465,0.462888685,41.245,0.428420045,26.63,0.443237756,22.85,0.45930553,23.31,0.442262941,29.765,0.441017732,27.875,0.430955733
23.58,0.483150456,32.57,0.462700089,41.365,0.428044369,26.735,0.443043234,23.15,0.45911028,23.84,0.441988341,29.945,0.440824405,28.05,0.430799957
